##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	19_3F_fox_S14_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16348255
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.23696284404666	32.0	32.0	32.0	32.0	32.0
2	31.47772713356869	32.0	32.0	32.0	32.0	32.0
3	35.288069582961604	37.0	37.0	37.0	32.0	37.0
4	35.92885632136274	37.0	37.0	37.0	32.0	37.0
5	36.13627931543764	37.0	37.0	37.0	37.0	37.0
6	39.54302602938356	41.0	41.0	41.0	37.0	41.0
7	39.66711902891165	41.0	41.0	41.0	37.0	41.0
8	39.9472180364204	41.0	41.0	41.0	37.0	41.0
9	40.03337683440832	41.0	41.0	41.0	37.0	41.0
10-11	40.103828634921584	41.0	41.0	41.0	37.0	41.0
12-13	40.12062697211415	41.0	41.0	41.0	37.0	41.0
14-15	40.09958717306526	41.0	41.0	41.0	37.0	41.0
16-17	40.055571466190116	41.0	41.0	41.0	37.0	41.0
18-19	40.04599591821879	41.0	41.0	41.0	37.0	41.0
20-21	40.03256739021994	41.0	41.0	41.0	37.0	41.0
22-23	40.03835458279798	41.0	41.0	41.0	37.0	41.0
24-25	40.02098551190937	41.0	41.0	41.0	37.0	41.0
26-27	39.96004542992509	41.0	41.0	41.0	37.0	41.0
28-29	39.931098640191266	41.0	41.0	41.0	37.0	41.0
30-31	39.898277430832835	41.0	41.0	41.0	37.0	41.0
32-33	39.90479136764138	41.0	41.0	41.0	37.0	41.0
34-35	39.945035601659015	41.0	41.0	41.0	37.0	41.0
36-37	39.93990847952885	41.0	41.0	41.0	37.0	41.0
38-39	39.92514253050249	41.0	41.0	41.0	37.0	41.0
40-41	39.918534791633725	41.0	41.0	41.0	37.0	41.0
42-43	39.90151734848765	41.0	41.0	41.0	37.0	41.0
44-45	39.85126247419067	41.0	41.0	41.0	37.0	41.0
46-47	39.85027469292594	41.0	41.0	41.0	37.0	41.0
48-49	39.84966413846615	41.0	41.0	41.0	37.0	41.0
50-51	39.84093302312694	41.0	41.0	41.0	37.0	41.0
52-53	39.79558145502379	41.0	41.0	41.0	37.0	41.0
54-55	39.79435196600494	41.0	41.0	41.0	37.0	41.0
56-57	39.771963552073295	41.0	41.0	41.0	37.0	41.0
58-59	39.75760529181861	41.0	41.0	41.0	37.0	41.0
60-61	39.73606293148718	41.0	41.0	41.0	37.0	41.0
62-63	39.70046702232134	41.0	41.0	41.0	37.0	41.0
64-65	39.68963656977458	41.0	41.0	41.0	37.0	41.0
66-67	39.665855897158444	41.0	41.0	41.0	37.0	41.0
68-69	39.64747745248651	41.0	41.0	41.0	37.0	41.0
70-71	39.56049024804176	41.0	41.0	41.0	37.0	41.0
72-73	39.56436705324207	41.0	41.0	41.0	37.0	41.0
74-75	39.53160218017152	41.0	41.0	41.0	37.0	41.0
76-77	39.168153573577115	41.0	41.0	41.0	34.5	41.0
78-79	39.26212916913762	41.0	41.0	41.0	37.0	41.0
80-81	39.40535837005234	41.0	41.0	41.0	37.0	41.0
82-83	39.446466396566485	41.0	41.0	41.0	37.0	41.0
84-85	39.4151547672825	41.0	41.0	41.0	37.0	41.0
86-87	39.379835860157556	41.0	41.0	41.0	37.0	41.0
88-89	39.22984547892114	41.0	41.0	41.0	37.0	41.0
90-91	39.24626986182929	41.0	41.0	41.0	37.0	41.0
92-93	39.184587896384045	41.0	41.0	41.0	37.0	41.0
94-95	39.103456056930845	41.0	41.0	41.0	37.0	41.0
96-97	39.08300439404695	41.0	41.0	41.0	37.0	41.0
98-99	38.88425385461629	41.0	41.0	41.0	32.0	41.0
100-101	38.41808826079603	41.0	39.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2409157600832721
1101	2	-0.03943761603499496
1101	3	-0.3303424444331995
1101	4	-0.17524328083324292
1101	5	0.13876740632383644
1101	6	-0.06565982728844943
1101	7	-0.05735358515953948
1101	8	0.011348036152298846
1101	9	-0.020806340646750243
1101	10-11	0.0506280286928984
1101	12-13	0.0163535230283145
1101	14-15	0.025705085832086638
1101	16-17	0.07368779614422749
1101	18-19	0.028681942890585788
1101	20-21	0.05105381921345753
1101	22-23	-0.015003306503608371
1101	24-25	0.028162219042805248
1101	26-27	0.03525618650705553
1101	28-29	0.02254373790940889
1101	30-31	0.016253410094201115
1101	32-33	0.03725571845686915
1101	34-35	9.341502080459918E-4
1101	36-37	-0.03358091342931857
1101	38-39	0.003912179379966574
1101	40-41	-0.02608205703391775
1101	42-43	0.01254246511517465
1101	44-45	0.009316283552145421
1101	46-47	-0.0015317846830953386
1101	48-49	-0.03073812541170895
1101	50-51	0.02602265613588628
1101	52-53	0.049412362961994916
1101	54-55	0.008611281298449569
1101	56-57	0.022193435860799582
1101	58-59	0.020958273285586415
1101	60-61	0.054391119664252585
1101	62-63	0.06841355379255276
1101	64-65	0.04391639248169099
1101	66-67	0.020394821878554126
1101	68-69	-0.005163196671183812
1101	70-71	0.04470760461852308
1101	72-73	0.04264234608492501
1101	74-75	0.03161818558101004
1101	76-77	0.0688075074669996
1101	78-79	0.1393330252609175
1101	80-81	0.12262774573378721
1101	82-83	0.1156131864926877
1101	84-85	0.110790208798484
1101	86-87	0.07812728843460803
1101	88-89	0.1880620560998736
1101	90-91	0.22944002570969957
1101	92-93	0.2855617727831117
1101	94-95	0.2900382648502955
1101	96-97	0.17365008916317493
1101	98-99	0.4538778845161886
1101	100-101	0.3266885272701856
1102	1	-0.1722568643463518
1102	2	-0.0444576903407885
1102	3	-0.29913748029747467
1102	4	-0.07184559258660528
1102	5	0.11420122409438704
1102	6	0.006984525160468991
1102	7	-0.046033932069775574
1102	8	0.08932732875218363
1102	9	0.008595588881320282
1102	10-11	0.023604227346751827
1102	12-13	0.03432496732077084
1102	14-15	0.01295375990332559
1102	16-17	0.08489599007813808
1102	18-19	0.09707405748275022
1102	20-21	0.09277603780520849
1102	22-23	0.0750428284279181
1102	24-25	0.0891800341618918
1102	26-27	0.08152127370301088
1102	28-29	0.08461540821807745
1102	30-31	0.10534331993805068
1102	32-33	0.08089842688555393
1102	34-35	0.04617650977765919
1102	36-37	0.021920047359010653
1102	38-39	0.04229863509074505
1102	40-41	0.023820997930663168
1102	42-43	0.02361549891514869
1102	44-45	0.06657813923144573
1102	46-47	0.05491693888013316
1102	48-49	0.04117497313843188
1102	50-51	0.021107991500549872
1102	52-53	0.07787059831340315
1102	54-55	0.04385945441191552
1102	56-57	0.02605533909068214
1102	58-59	-0.009270640635094196
1102	60-61	0.050443329997584385
1102	62-63	0.07586026363188125
1102	64-65	0.059199823993182576
1102	66-67	0.07414917431493961
1102	68-69	0.07667737911535966
1102	70-71	0.05168885938815038
1102	72-73	0.11323664288553914
1102	74-75	0.15145427634178077
1102	76-77	0.1668925887300503
1102	78-79	0.1877577369419683
1102	80-81	0.2239236058839893
1102	82-83	0.15044142081812595
1102	84-85	0.1718944142846226
1102	86-87	0.14230901924880612
1102	88-89	0.2957699875952642
1102	90-91	0.31100189322787486
1102	92-93	0.30464911606602385
1102	94-95	0.3711836073015604
1102	96-97	0.3452190079893924
1102	98-99	0.5435694336800196
1102	100-101	0.41271141072012796
1103	1	-0.15721299967130875
1103	2	-0.03367319091506005
1103	3	-0.23970280783419184
1103	4	-0.07850017358467198
1103	5	0.12302557819312909
1103	6	0.0620888959772401
1103	7	0.0027111302140667703
1103	8	0.05628687936150811
1103	9	0.025233242477007423
1103	10-11	0.0450127836059977
1103	12-13	0.06902223689746734
1103	14-15	0.04453298636775571
1103	16-17	0.03228982073437692
1103	18-19	0.0757300678688182
1103	20-21	0.04960071146585676
