##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	7_2E_fox_S6_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5278425
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.79032571268892	32.0	32.0	32.0	27.0	32.0
2	30.37885354059213	32.0	32.0	32.0	27.0	32.0
3	32.40797302225569	37.0	32.0	37.0	22.0	37.0
4	33.293275929846494	37.0	32.0	37.0	22.0	37.0
5	34.3710712949412	37.0	37.0	37.0	27.0	37.0
6	36.559432027546094	41.0	37.0	41.0	22.0	41.0
7	36.74519918346855	41.0	37.0	41.0	22.0	41.0
8	37.249519506292124	41.0	37.0	41.0	27.0	41.0
9	37.35897374690367	41.0	37.0	41.0	27.0	41.0
10-11	37.18510047978327	41.0	37.0	41.0	27.0	41.0
12-13	37.21019035034125	41.0	37.0	41.0	27.0	41.0
14-15	37.16942591776903	41.0	37.0	41.0	27.0	41.0
16-17	36.78306625555919	41.0	37.0	41.0	24.5	41.0
18-19	36.97120684673932	41.0	37.0	41.0	24.5	41.0
20-21	36.764157963786545	41.0	37.0	41.0	22.0	41.0
22-23	36.909283166853754	41.0	37.0	41.0	24.5	41.0
24-25	37.196939617404816	41.0	37.0	41.0	27.0	41.0
26-27	37.032185642497524	41.0	37.0	41.0	27.0	41.0
28-29	37.09072043270483	41.0	37.0	41.0	27.0	41.0
30-31	36.9029021914681	41.0	37.0	41.0	24.5	41.0
32-33	36.20260219667799	41.0	37.0	41.0	22.0	41.0
34-35	35.74703770537613	41.0	37.0	41.0	22.0	41.0
36-37	35.59178893325187	41.0	32.0	41.0	22.0	41.0
38-39	35.6045161198653	41.0	32.0	41.0	22.0	41.0
40-41	36.45979804581859	41.0	37.0	41.0	22.0	41.0
42-43	36.8923121953992	41.0	37.0	41.0	27.0	41.0
44-45	37.110506732595425	41.0	37.0	41.0	27.0	41.0
46-47	37.12473370370897	41.0	37.0	41.0	27.0	41.0
48-49	37.085261607392354	41.0	37.0	41.0	27.0	41.0
50-51	37.05932432496436	41.0	37.0	41.0	27.0	41.0
52-53	37.10977204374411	41.0	37.0	41.0	27.0	41.0
54-55	36.91357109365009	41.0	37.0	41.0	24.5	41.0
56-57	36.99910143650805	41.0	37.0	41.0	27.0	41.0
58-59	36.89342152251855	41.0	37.0	41.0	22.0	41.0
60-61	36.788220160369804	41.0	37.0	41.0	22.0	41.0
62-63	36.80770892832616	41.0	37.0	41.0	22.0	41.0
64-65	36.74515873579713	41.0	37.0	41.0	22.0	41.0
66-67	36.726583592643635	41.0	37.0	41.0	22.0	41.0
68-69	36.61222760577255	41.0	37.0	41.0	22.0	41.0
70-71	36.61730999303769	41.0	37.0	41.0	22.0	41.0
72-73	36.49789179537457	41.0	37.0	41.0	22.0	41.0
74-75	36.45548397485992	41.0	37.0	41.0	22.0	41.0
76-77	35.837881186149275	41.0	34.5	41.0	22.0	41.0
78-79	36.01244452653964	41.0	34.5	41.0	22.0	41.0
80-81	36.44106035417762	41.0	37.0	41.0	22.0	41.0
82-83	36.52521310807675	41.0	37.0	41.0	22.0	41.0
84-85	36.384528434144656	41.0	37.0	41.0	22.0	41.0
86-87	36.296740315529725	41.0	37.0	41.0	22.0	41.0
88-89	36.22544063806912	41.0	37.0	41.0	22.0	41.0
90-91	36.09098774729205	41.0	37.0	41.0	22.0	41.0
92-93	35.94885917674306	41.0	37.0	41.0	22.0	41.0
94-95	35.786600169558156	41.0	37.0	41.0	22.0	41.0
96-97	35.6835255781791	41.0	37.0	41.0	22.0	41.0
98-99	35.45144176529931	41.0	34.5	41.0	22.0	41.0
100-101	34.35788724856373	39.0	29.5	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.3819072402933763
1101	2	-0.7050591801134551
1101	3	-1.0397078363548893
1101	4	-0.9292796998902801
1101	5	-0.868523669188562
1101	6	-1.2966246497788347
1101	7	-0.6213793486422716
1101	8	-0.41297193516459174
1101	9	-0.07783164017436661
1101	10-11	0.05358155826043287
1101	12-13	0.059032310978807345
1101	14-15	0.07749443354776275
1101	16-17	-0.07336320617238101
1101	18-19	0.012090143758598515
1101	20-21	0.13540545838554863
1101	22-23	-0.04375004553905626
1101	24-25	0.016595544304941257
1101	26-27	0.04847079162498602
1101	28-29	0.05742942221004199
1101	30-31	-0.03558097530879678
1101	32-33	0.3081758527615577
1101	34-35	0.302051735314393
1101	36-37	0.2165072450826102
1101	38-39	-0.023202202859557985
1101	40-41	-0.22041728435927865
1101	42-43	-0.21367394479223378
1101	44-45	-0.11137036345031959
1101	46-47	-0.030629620488795695
1101	48-49	-0.08530702362362064
1101	50-51	-0.14879278112477579
1101	52-53	-0.09535584159790744
1101	54-55	0.08378928594584067
1101	56-57	0.06269258277060885
1101	58-59	-0.04061025816677244
1101	60-61	0.032850722930909626
1101	62-63	-0.1457914654837822
1101	64-65	-0.13640133802589816
1101	66-67	-0.08552191071125037
1101	68-69	-0.11431221015403281
1101	70-71	-0.10564144570667366
1101	72-73	-0.22182909393975336
1101	74-75	-0.1732591997809152
1101	76-77	-0.29627844727401964
1101	78-79	0.00696233227798615
1101	80-81	-0.06329239230466754
1101	82-83	-0.20537761288610312
1101	84-85	-0.15269930769245832
1101	86-87	-0.27656637564932396
1101	88-89	-0.3095916523126334
1101	90-91	-0.2230058411658007
1101	92-93	-0.2392806112264907
1101	94-95	-0.2389951658362932
1101	96-97	-0.2966701997876058
1101	98-99	-0.2532791195459012
1101	100-101	-0.2848990996837486
1102	1	-0.4896508579504051
1102	2	-0.6135739553841795
1102	3	-1.2590544310986154
1102	4	-1.1047635689674777
1102	5	-1.36656670061123
1102	6	-1.620897836566705
1102	7	-1.2332238504767616
1102	8	-0.8547653866800715
1102	9	-0.33044166419772125
1102	10-11	-0.1678518103042208
1102	12-13	-0.18833783936450743
1102	14-15	-0.20453348790353942
1102	16-17	-0.14455192733753108
1102	18-19	-0.03435497366867679
1102	20-21	0.03008796254344759
1102	22-23	-0.16650391117126162
1102	24-25	-0.21445630123717052
1102	26-27	0.05666891993868006
1102	28-29	-0.031064444114463186
1102	30-31	-0.03486553550848015
1102	32-33	0.0343683348447712
1102	34-35	0.030123302828776843
1102	36-37	-0.08699112756713845
1102	38-39	-0.20118881776406994
1102	40-41	-0.26827480646097257
1102	42-43	-0.2670174210966252
1102	44-45	-0.17250455817156052
1102	46-47	-0.16802803586668347
1102	48-49	-0.06095949757877861
1102	50-51	0.013602163622600472
1102	52-53	-0.25290790609192726
1102	54-55	0.08116303054369212
1102	56-57	-0.12200713809546926
1102	58-59	-0.13978322706498147
1102	60-61	-0.1703351647712097
1102	62-63	-0.2978559732412336
1102	64-65	-0.06526879711962152
1102	66-67	-0.07303448602347373
1102	68-69	0.10794252569984764
1102	70-71	-0.017728612377339914
1102	72-73	-0.23935044381172332
1102	74-75	-0.3410807362977195
1102	76-77	-0.5856026596560966
1102	78-79	-0.19497909629946264
1102	80-81	-0.10135971447788705
1102	82-83	-0.2768687550861628
1102	84-85	-0.4210716259435969
1102	86-87	-0.2385038152910255
1102	88-89	-0.19934235848063508
1102	90-91	-0.13618325741600756
1102	92-93	-0.24193488807804187
1102	94-95	-0.1921479497672962
1102	96-97	-0.27391646235810896
1102	98-99	-0.29512675044224324
1102	100-101	-0.48775903199638293
1103	1	-0.729829472147987
1103	2	-0.8017094353677408
1103	3	-1.420494394391099
1103	4	-1.1942165325988654
1103	5	-1.287127538314806
1103	6	-0.9768980857974938
1103	7	-1.334594691843165
1103	8	-1.2574747090280383
1103	9	-0.41955022473505466
1103	10-11	-0.31065609966693586
1103	12-13	-0.22328264302863943
